brand,color,gender,category,season,rating,price
New Balance,Brown,Female,Sneakers,Winter,7.0,11137.45
Under Armour,Pink,Unisex,Sneakers,Spring,9.9,16415.71
New Balance,Gray,Female,Formal Shoes,Spring,6.8,8510.21
Fila,Black,Female,Running Shoes,Spring,7.3,2813.84
Skechers,Red,Unisex,Boots,Winter,4.3,3581.71
Fila,Gray,Male,Sneakers,All-Season,1.1,16095.64
Nike,Gray,Male,Running Shoes,Summer,8.9,3523.31
Puma,Pink,Unisex,Sneakers,All-Season,3.8,1459.37
Reebok,Gray,Unisex,Sneakers,Winter,4.8,1207.57
Puma,Blue,Male,Boots,Spring,9.9,18140.62
New Balance,Brown,Unisex,Loafers,Summer,3.5,5008.72
Nike,Red,Male,Loafers,Winter,6.4,6466.01
Nike,Orange,Unisex,Casual Shoes,Summer,6.8,732.46
Fila,Orange,Male,Casual Shoes,Winter,1.8,7307.6
Reebok,Pink,Male,Running Shoes,Spring,6.4,7554.19
Reebok,Brown,Female,Loafers,Summer,7.6,13700.76
Adidas,Black,Male,Formal Shoes,Winter,3.7,5853.18
Nike,Yellow,Unisex,Loafers,Spring,8.9,17758.4
Converse,Orange,Male,Running Shoes,Winter,8.9,11990.0
Adidas,Blue,Female,Casual Shoes,All-Season,2.4,10410.16
Reebok,Brown,Male,Sneakers,Summer,1.4,3382.04
Fila,Orange,Unisex,Formal Shoes,All-Season,8.4,6927.97
Adidas,Orange,Male,Sneakers,Spring,2.2,12135.14
Under Armour,Yellow,Male,Sneakers,Spring,4.5,19253.78
New Balance,Blue,Unisex,Sandals,All-Season,3.7,1754.14
Skechers,Brown,Female,Loafers,Spring,3.1,5257.67
Reebok,Pink,Unisex,Boots,Spring,10.0,12022.13
Skechers,Gray,Female,Sneakers,All-Season,6.0,13592.58
Nike,Red,Unisex,Sneakers,Winter,1.4,14359.11
Reebok,Blue,Male,Running Shoes,Summer,9.4,11921.5
Reebok,Orange,Unisex,Casual Shoes,Spring,2.9,10364.87
Reebok,Red,Female,Boots,Winter,7.4,19759.95
Under Armour,White,Unisex,Formal Shoes,Spring,7.0,1344.47
Converse,Green,Female,Casual Shoes,Winter,8.6,6508.82
Nike,Black,Female,Running Shoes,All-Season,7.3,15898.02
Nike,Pink,Unisex,Sandals,Summer,9.9,16829.34
ASICS,Pink,Unisex,Casual Shoes,All-Season,7.5,5066.38
Reebok,Gray,Unisex,Sneakers,Winter,9.6,9390.15
Reebok,Pink,Male,Boots,All-Season,4.8,9069.24
Reebok,Blue,Unisex,Sneakers,All-Season,3.6,8161.9
Puma,Green,Unisex,Casual Shoes,All-Season,6.3,852.91
Nike,Orange,Male,Boots,Summer,7.3,19131.69
Reebok,Green,Female,Sandals,All-Season,1.4,806.97
Reebok,Gray,Female,Running Shoes,Summer,2.4,7184.61
Nike,Brown,Male,Loafers,Spring,2.2,1916.41
Under Armour,Black,Female,Sneakers,Winter,6.1,15918.64
Reebok,Green,Female,Formal Shoes,Summer,5.8,5103.84
Reebok,Black,Male,Loafers,Spring,9.7,686.42
Converse,Yellow,Female,Loafers,All-Season,4.0,10909.51
Skechers,Brown,Unisex,Casual Shoes,All-Season,8.7,14355.94
Under Armour,Red,Unisex,Loafers,All-Season,2.4,13538.93
Nike,White,Unisex,Sneakers,Summer,4.6,5429.87
Reebok,Yellow,Male,Running Shoes,Winter,7.2,5334.47
Reebok,Yellow,Female,Formal Shoes,All-Season,5.0,6588.17
Nike,Pink,Female,Boots,Winter,8.0,15421.46
Puma,Yellow,Unisex,Sneakers,Summer,4.5,17955.37
Fila,Red,Unisex,Running Shoes,Spring,5.7,4796.15
Nike,Yellow,Unisex,Casual Shoes,Winter,7.3,14494.95
Reebok,White,Male,Boots,All-Season,8.4,8507.04
Reebok,Blue,Male,Sandals,Summer,9.0,19192.42
Reebok,Black,Unisex,Sneakers,Winter,9.2,8428.45
Reebok,Black,Unisex,Formal Shoes,Winter,5.5,19456.65
Reebok,Orange,Male,Sandals,All-Season,5.4,15612.46
Skechers,Gray,Male,Sneakers,All-Season,8.2,18512.21
Nike,Green,Female,Formal Shoes,Summer,6.5,11637.35
Skechers,Blue,Male,Sandals,Spring,7.7,14258.62
Fila,Pink,Male,Boots,Spring,6.0,9444.71
Reebok,Pink,Unisex,Loafers,Summer,6.1,7623.37
New Balance,Blue,Female,Loafers,All-Season,4.3,4148.79
New Balance,Yellow,Male,Sneakers,Spring,4.4,14528.98
Adidas,Pink,Unisex,Running Shoes,Winter,9.4,11029.15
Reebok,Orange,Female,Sneakers,All-Season,6.5,2592.04
Under Armour,Green,Female,Running Shoes,Winter,4.6,2070.38
Puma,White,Male,Sandals,Winter,6.2,18690.62
Puma,Gray,Female,Casual Shoes,All-Season,4.2,18617.13
New Balance,Blue,Female,Loafers,Summer,1.4,1078.64
Reebok,Orange,Male,Running Shoes,Spring,4.0,14561.49
Reebok,Pink,Male,Running Shoes,All-Season,8.5,3176.41
Reebok,Green,Male,Sneakers,Winter,2.1,15102.89
Fila,White,Male,Formal Shoes,Winter,5.6,2247.4
Puma,Gray,Unisex,Sandals,All-Season,7.6,7316.12
Fila,Green,Female,Loafers,All-Season,3.7,15013.32
Nike,Green,Unisex,Casual Shoes,Winter,7.9,1473.26
Skechers,Gray,Female,Formal Shoes,Summer,1.6,13556.82
Reebok,Yellow,Unisex,Sandals,Spring,4.9,7800.32
Reebok,Red,Unisex,Boots,Summer,2.8,5047.85
Fila,Yellow,Male,Running Shoes,Winter,3.4,3277.59
Nike,Red,Female,Boots,All-Season,6.8,13055.11
Nike,Yellow,Female,Formal Shoes,All-Season,6.8,5850.86
Under Armour,Pink,Male,Boots,All-Season,4.3,2625.39
Puma,Red,Unisex,Sandals,Spring,2.9,3641.09
Nike,Black,Unisex,Boots,All-Season,3.8,8892.95
Reebok,Brown,Female,Sneakers,Summer,5.6,4234.09
Converse,Orange,Female,Loafers,Summer,8.8,6670.63
Skechers,Yellow,Unisex,Sneakers,All-Season,8.1,13989.94
New Balance,Gray,Female,Sneakers,All-Season,4.4,16833.08
Reebok,Red,Unisex,Loafers,All-Season,3.2,1565.86
Nike,White,Male,Running Shoes,Winter,8.2,7484.18
Fila,Blue,Unisex,Loafers,Spring,8.5,2384.44
Reebok,Orange,Female,Sneakers,Summer,8.6,5735.53
Reebok,Brown,Female,Casual Shoes,Spring,9.2,12393.78
Nike,Yellow,Male,Sandals,Summer,8.3,2700.95
Nike,Gray,Female,Formal Shoes,All-Season,6.8,18819.7
Adidas,Blue,Unisex,Loafers,All-Season,8.9,4819.16
Reebok,Blue,Male,Formal Shoes,Winter,1.5,8312.64
Nike,Yellow,Female,Sneakers,Spring,8.9,15886.81
Nike,Green,Unisex,Running Shoes,Summer,5.7,5098.48
New Balance,Blue,Unisex,Formal Shoes,Spring,5.8,7222.21
Reebok,Green,Unisex,Boots,Winter,5.3,2386.17
Nike,Red,Female,Running Shoes,Winter,5.9,10794.89
Converse,Yellow,Female,Formal Shoes,Spring,6.3,11590.84
New Balance,White,Unisex,Running Shoes,Winter,9.6,17049.08
Nike,Black,Unisex,Loafers,Summer,8.7,17279.58
Fila,Red,Unisex,Sandals,Spring,1.0,7298.22
Fila,Black,Unisex,Sneakers,Summer,1.9,4695.39
Nike,Pink,Male,Casual Shoes,Summer,2.1,8485.75
Fila,Red,Female,Loafers,Spring,9.1,637.75
Reebok,Orange,Male,Loafers,Summer,6.9,17564.51
Reebok,Gray,Unisex,Loafers,Spring,6.5,14009.95
Nike,Gray,Male,Formal Shoes,Winter,7.6,19914.45
Reebok,White,Female,Loafers,All-Season,4.5,5917.35
Nike,Orange,Unisex,Boots,Spring,3.4,13292.84
New Balance,Green,Unisex,Formal Shoes,Winter,9.8,5055.5
Adidas,Yellow,Female,Casual Shoes,Spring,3.3,15753.11
Nike,Gray,Female,Sneakers,Winter,7.7,11044.3
Nike,White,Unisex,Sandals,Winter,7.4,2411.3
Puma,White,Female,Boots,Winter,6.5,5162.23
Reebok,Black,Unisex,Boots,Winter,4.1,7270.4
Under Armour,Green,Male,Sneakers,All-Season,8.2,9645.21
Reebok,Black,Female,Running Shoes,Summer,6.6,15218.68
Fila,Black,Female,Sneakers,Winter,5.0,10775.22
Skechers,White,Male,Boots,All-Season,9.2,9980.3
Fila,Green,Unisex,Casual Shoes,All-Season,1.9,12505.55
Under Armour,Yellow,Female,Running Shoes,Spring,5.9,13366.85
Puma,Blue,Female,Formal Shoes,Winter,1.8,16006.04
Fila,Gray,Female,Running Shoes,All-Season,9.7,6709.98
Reebok,Green,Female,Sneakers,All-Season,5.1,14397.5
Nike,Pink,Female,Casual Shoes,All-Season,3.0,4980.59
Reebok,White,Male,Formal Shoes,Summer,3.2,7986.85
Fila,Red,Unisex,Loafers,All-Season,2.2,13609.41
Under Armour,Blue,Unisex,Casual Shoes,All-Season,5.5,625.76
Fila,Gray,Female,Sandals,Spring,7.8,15698.74
Nike,Orange,Male,Formal Shoes,Spring,2.3,7359.23
Reebok,Blue,Male,Loafers,All-Season,6.2,8008.71
Converse,White,Female,Casual Shoes,All-Season,3.3,17499.81
Reebok,Black,Female,Sneakers,Winter,6.1,2012.88
New Balance,Yellow,Unisex,Sneakers,Summer,10.0,8525.62
Reebok,Red,Female,Formal Shoes,Spring,3.3,16719.34
Fila,Orange,Unisex,Running Shoes,Spring,7.2,11844.84
Reebok,Yellow,Female,Formal Shoes,All-Season,1.8,9849.22
Reebok,Red,Male,Running Shoes,Winter,4.5,1617.89
Reebok,Yellow,Female,Formal Shoes,Summer,2.3,3527.61
Puma,Yellow,Female,Casual Shoes,All-Season,4.3,18012.47
Nike,Black,Unisex,Casual Shoes,Summer,3.1,1289.41
Reebok,White,Female,Running Shoes,Spring,8.6,14680.84
Skechers,Blue,Female,Sandals,Winter,7.3,2611.3
Reebok,Blue,Male,Sandals,All-Season,5.1,13615.79
Reebok,Black,Female,Boots,All-Season,1.4,10798.12
Skechers,White,Female,Sneakers,Summer,4.6,10373.05
Reebok,Orange,Male,Casual Shoes,All-Season,8.9,11757.83
Puma,Red,Female,Boots,Winter,8.5,9085.0
Reebok,Brown,Unisex,Formal Shoes,All-Season,6.3,4814.05
New Balance,Pink,Female,Formal Shoes,Summer,4.2,6388.96
Reebok,Yellow,Female,Loafers,Spring,4.3,1740.5
Puma,Brown,Male,Loafers,All-Season,8.4,19185.6
Reebok,Yellow,Male,Casual Shoes,All-Season,3.6,9209.97
Nike,Green,Unisex,Sandals,Summer,5.5,4003.31
Nike,Gray,Male,Sneakers,All-Season,8.3,2247.12
New Balance,Yellow,Unisex,Sandals,Winter,8.0,17855.71
Reebok,Pink,Female,Sneakers,Spring,1.5,18053.68
Reebok,White,Female,Running Shoes,Summer,2.3,14457.87
Reebok,Pink,Female,Sneakers,Winter,6.3,14241.05
Reebok,Brown,Unisex,Sneakers,Winter,8.9,12695.47
Reebok,Pink,Male,Running Shoes,Spring,2.5,6395.65
Fila,Red,Female,Casual Shoes,Summer,6.8,18471.63
Nike,Yellow,Male,Formal Shoes,Spring,7.4,8516.38
Reebok,Gray,Male,Boots,Winter,7.5,15880.76
Reebok,Pink,Male,Casual Shoes,Spring,3.7,4456.85
Reebok,White,Unisex,Sandals,Winter,4.8,10140.33
Reebok,White,Unisex,Casual Shoes,Summer,5.0,5578.32
Puma,Gray,Female,Formal Shoes,All-Season,4.5,13386.69
Reebok,Orange,Unisex,Loafers,Winter,6.7,19593.42
Skechers,Yellow,Unisex,Formal Shoes,Spring,3.5,13971.82
Reebok,Pink,Unisex,Loafers,All-Season,3.3,16549.49
